Method_Parsed;Previous_Method_Parsed;ChgLines
ShareX.ApplicationConfig.ApplicationConfig();ShareX.ApplicationConfig.ApplicationConfig();0
ShareX.ApplicationConfig.List<HotkeyType>();ShareX.ApplicationConfig.List<HotkeyType>();0
ShareX.HotkeySelectionControl.Dispose(Boolean);ShareX.HotkeySelectionControl.Dispose(Boolean);0
ShareX.HotkeySelectionControl.InitializeComponent();ShareX.HotkeySelectionControl.InitializeComponent();1
ShareX.HotkeySelectionControl.if();ShareX.HotkeySelectionControl.if();0
ShareX.HotkeySelectionControl.HotkeySelectionControl(HotkeySettings);ShareX.HotkeySelectionControl.HotkeySelectionControl(HotkeySettings);4
ShareX.HotkeySelectionControl.UpdateDescription();ShareX.HotkeySelectionControl.UpdateDescription();0
ShareX.HotkeySelectionControl.UpdateHotkeyText();ShareX.HotkeySelectionControl.UpdateHotkeyText();0
ShareX.HotkeySelectionControl.UpdateHotkeyStatus();ShareX.HotkeySelectionControl.UpdateHotkeyStatus();0
ShareX.HotkeySelectionControl.btnHotkey_PreviewKeyDown(Object,PreviewKeyDownEventArgs);ShareX.HotkeySelectionControl.btnHotkey_PreviewKeyDown(Object,PreviewKeyDownEventArgs);0
ShareX.HotkeySelectionControl.btnHotkey_KeyDown(Object,KeyEventArgs);ShareX.HotkeySelectionControl.btnHotkey_KeyDown(Object,KeyEventArgs);0
ShareX.HotkeySelectionControl.btnHotkey_KeyUp(Object,KeyEventArgs);ShareX.HotkeySelectionControl.btnHotkey_KeyUp(Object,KeyEventArgs);0
ShareX.HotkeySelectionControl.btnHotkey_MouseClick(Object,MouseEventArgs);ShareX.HotkeySelectionControl.btnHotkey_MouseClick(Object,MouseEventArgs);0
ShareX.HotkeySelectionControl.btnHotkey_Leave(Object,EventArgs);ShareX.HotkeySelectionControl.btnHotkey_Leave(Object,EventArgs);0
ShareX.HotkeySelectionControl.StartEditing();ShareX.HotkeySelectionControl.StartEditing();0
ShareX.HotkeySelectionControl.StopEditing();ShareX.HotkeySelectionControl.StopEditing();0
ShareX.HotkeySelectionControl.OnHotkeyChanged();ShareX.HotkeySelectionControl.OnHotkeyChanged();0
ShareX.HotkeySelectionControl.OnSelectedChanged();ShareX.HotkeySelectionControl.OnSelectedChanged();0
ShareX.HotkeySelectionControl.OnEditRequested();ShareX.HotkeySelectionControl.OnEditRequested();0
ShareX.HotkeySelectionControl.lblHotkeyDescription_MouseEnter(Object,EventArgs);ShareX.HotkeySelectionControl.lblHotkeyDescription_MouseEnter(Object,EventArgs);0
ShareX.HotkeySelectionControl.lblHotkeyDescription_MouseLeave(Object,EventArgs);ShareX.HotkeySelectionControl.lblHotkeyDescription_MouseLeave(Object,EventArgs);0
ShareX.HotkeySelectionControl.lblHotkeyDescription_MouseClick(Object,MouseEventArgs);ShareX.HotkeySelectionControl.lblHotkeyDescription_MouseClick(Object,MouseEventArgs);0
ShareX.HotkeySelectionControl.lblHotkeyDescription_MouseDoubleClick(Object,MouseEventArgs);ShareX.HotkeySelectionControl.lblHotkeyDescription_MouseDoubleClick(Object,MouseEventArgs);0
ShareX.HotkeySelectionControl.btnEdit_Click(Object,EventArgs);ShareX.HotkeySelectionControl.btnEdit_Click(Object,EventArgs);0
ShareX.AboutForm.Dispose(Boolean);ShareX.AboutForm.Dispose(Boolean);2
ShareX.AboutForm.InitializeComponent();ShareX.AboutForm.InitializeComponent();5
ShareX.AboutForm.AboutForm();ShareX.AboutForm.AboutForm();42
ShareX.AboutForm.AboutForm_Shown(Object,EventArgs);ShareX.AboutForm.AboutForm_Shown(Object,EventArgs);0
ShareX.AboutForm.pbBerkURL_Click(Object,EventArgs);ShareX.AboutForm.pbBerkURL_Click(Object,EventArgs);1
ShareX.AboutForm.pbMikeURL_Click(Object,EventArgs);ShareX.AboutForm.pbMikeURL_Click(Object,EventArgs);1
ShareX.AboutForm.rtb_LinkClicked(Object,LinkClickedEventArgs);ShareX.AboutForm.rtb_LinkClicked(Object,LinkClickedEventArgs);0
ShareX.AboutForm.pbSteam_Click(Object,EventArgs);ShareX.AboutForm.pbSteam_Click(Object,EventArgs);0
ShareX.AboutForm.pbLogo_MouseDown(Object,MouseEventArgs);ShareX.AboutForm.pbLogo_MouseDown(Object,MouseEventArgs);1
ShareX.AboutForm.btnShareXLicense_Click(Object,EventArgs);ShareX.AboutForm.btnShareXLicense_Click(Object,EventArgs);0
ShareX.AboutForm.btnClose_Click(Object,EventArgs);ShareX.AboutForm.btnClose_Click(Object,EventArgs);0
ShareX.AboutForm.btnLicenses_Click(Object,EventArgs);ShareX.AboutForm.btnLicenses_Click(Object,EventArgs);0
ShareX.AfterCaptureForm.Dispose(Boolean);ShareX.AfterCaptureForm.Dispose(Boolean);0
ShareX.AfterCaptureForm.InitializeComponent();ShareX.AfterCaptureForm.InitializeComponent();11
ShareX.AfterCaptureForm.AfterCaptureForm(TaskSettings);ShareX.AfterCaptureForm.AfterCaptureForm(TaskSettings);2
ShareX.AfterCaptureForm.AddAfterCaptureItems(AfterCaptureTasks);ShareX.AfterCaptureForm.AddAfterCaptureItems(AfterCaptureTasks);5
ShareX.AfterCaptureForm.GetAfterCaptureTasks();ShareX.AfterCaptureForm.GetAfterCaptureTasks();0
ShareX.AfterCaptureForm.Continue();ShareX.AfterCaptureForm.btnContinue_Click(Object,EventArgs);3
ShareX.AfterCaptureForm.btnCopy_Click(Object,EventArgs);ShareX.AfterCaptureForm.btnCopy_Click(Object,EventArgs);0
ShareX.AfterCaptureForm.lvAfterCaptureTasks_MouseDown(Object,MouseEventArgs);ShareX.AfterCaptureForm.lvAfterCaptureTasks_MouseDown(Object,MouseEventArgs);0
ShareX.AfterCaptureForm.lvAfterCaptureTasks_ItemSelectionChanged(Object,ListViewItemSelectionChangedEventArgs);ShareX.AfterCaptureForm.lvAfterCaptureTasks_ItemSelectionChanged(Object,ListViewItemSelectionChangedEventArgs);0
ShareX.AfterCaptureForm.CheckItem(ListViewItem,Boolean);ShareX.AfterCaptureForm.CheckItem(ListViewItem,Boolean);0
