Method;LOC;CC;NP;NV;NEST;Ca;Ce;NChg;NCall
ShareX.ScreenCaptureLib.WindowInfo.WindowInfo(IntPtr);2.0;1.0;1;0.0;0.0;5;0;1.0;0.0
ShareX.ScreenCaptureLib.WindowInfo.Activate();1.0;1.0;0;0.0;0.0;1;2;1.0;0.0
ShareX.ScreenCaptureLib.WindowInfo.ToString();1.0;1.0;0;1.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.CustomToolStripProfessionalRenderer.CustomToolStripProfessionalRenderer();2.0;1.0;0;0.0;0.0;2;0;1.0;0.0
ShareX.HelpersLib.LabeledComboBox.add_SelectedIndexChanged(EventHandler);1.0;1.0;1;0.0;0.0;1;0;1.0;11.0
ShareX.HelpersLib.LabeledComboBox.remove_SelectedIndexChanged(EventHandler);1.0;1.0;1;0.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.LabeledComboBox.LabeledComboBox();3.0;1.0;0;0.0;0.0;1;1;1.0;28.0
ShareX.HelpersLib.LabeledComboBox.Add(Object);1.0;1.0;1;0.0;0.0;1;0;1.0;476.0
ShareX.HelpersLib.LabeledComboBox.AddRange(Object[]);1.0;1.0;1;0.0;0.0;1;0;1.0;11.0
ShareX.HelpersLib.LabeledComboBox.Dispose(Boolean);3.0;3.0;1;1.0;1.0;0;0;1.0;28.0
ShareX.HelpersLib.LabeledComboBox.InitializeComponent();42.0;1.0;0;0.0;0.0;1;0;1.0;28.0
ShareX.HelpersLib.ToolStripBorderRight.OnPaint(PaintEventArgs);2.0;1.0;1;1.0;0.0;0;0;1.0;126316.0
ShareX.HelpersLib.ToolStripBorderRight.OnPaintBackground(PaintEventArgs);1.0;1.0;1;0.0;0.0;0;0;1.0;126316.0
ShareX.HelpersLib.ToolStripButtonCounter.UpdateImage();23.0;5.0;0;11.0;2.0;1;5;2.0;6.0
ShareX.HelpersLib.ToolStripButtonExtraImage.OnPaint(PaintEventArgs);3.0;3.0;1;1.0;1.0;0;3;3.0;197.0
ShareX.HelpersLib.ToolStripButtonExtraImage.Dispose(Boolean);4.0;3.0;1;2.0;2.0;0;1;1.0;1.0
ShareX.HelpersLib.ToolStripEx.WndProc(Message);3.0;4.0;1;1.0;2.0;0;0;2.0;29494.0
ShareX.HelpersLib.ToolStripEx.ToolStripEx();1.0;1.0;0;0.0;0.0;2;0;1.0;17.0
ShareX.HelpersLib.ToolStripLabeledComboBox.ToolStripLabeledComboBox(String);2.0;1.0;1;0.0;0.0;1;3;2.0;28.0
ShareX.HelpersLib.JsonHelpers.Deserialize<T>(TextReader);8.0;2.0;1;3.0;2.0;2;0;1.0;0.0
ShareX.HelpersLib.JsonHelpers.DeserializeFromString<T>(String);4.0;2.0;1;4.0;3.0;0;1;1.0;0.0
ShareX.HelpersLib.JsonHelpers.DeserializeFromFilePath<T>(String);6.0;3.0;1;6.0;4.0;1;1;1.0;0.0
ShareX.HelpersLib.HotkeyForm.HotkeyForm();3.0;1.0;0;0.0;0.0;1;1;1.0;2.0
ShareX.HelpersLib.HotkeyForm.RegisterHotkey(HotkeyInfo);18.0;7.0;1;6.0;4.0;1;12;1.0;10.0
ShareX.HelpersLib.HotkeyForm.UnregisterHotkey(HotkeyInfo);10.0;4.0;1;5.0;3.0;1;5;1.0;5.0
ShareX.HelpersLib.HotkeyForm.WndProc(Message);7.0;3.0;1;4.0;1.0;0;2;1.0;8283.0
ShareX.HelpersLib.HotkeyForm.OnKeyPressed(UInt16,Keys,Modifiers);2.0;2.0;3;1.0;1.0;1;1;1.0;4.0
ShareX.HelpersLib.HotkeyForm.CheckRepeatLimitTime();6.0;3.0;0;3.0;2.0;1;1;1.0;4.0
ShareX.HelpersLib.HotkeyInfo.HotkeyInfo();2.0;1.0;0;0.0;0.0;4;1;1.0;0.0
ShareX.HelpersLib.HotkeyInfo.HotkeyInfo(Keys);2.0;1.0;1;0.0;0.0;4;2;2.0;0.0
ShareX.HelpersLib.HotkeyInfo.HotkeyInfo(Keys,UInt16);2.0;1.0;2;0.0;0.0;0;2;2.0;0.0
ShareX.HelpersLib.HotkeyInfo.ToString();27.0;15.0;0;15.0;1.0;0;7;3.0;159.0
ShareX.HelpersLib.HotkeyInfo.ToStringWithSpaces(Keys);9.0;4.0;1;7.0;2.0;1;0;1.0;159.0
ShareX.HelpersLib.KeyboardHook.KeyboardHook();4.0;1.0;0;0.0;0.0;0;3;1.0;0.0
ShareX.HelpersLib.KeyboardHook.Finalize();1.0;1.0;0;0.0;1.0;0;1;1.0;0.0
ShareX.HelpersLib.KeyboardHook.SetHook(Int32,HookProc);3.0;1.0;2;3.0;2.0;1;2;1.0;0.0
ShareX.HelpersLib.KeyboardHook.KeyboardHookProc(Int32,IntPtr,IntPtr);10.0;7.0;3;6.0;2.0;1;3;1.0;0.0
ShareX.HelpersLib.KeyboardHook.OnKeyDown(IntPtr);5.0;3.0;1;3.0;2.0;1;1;1.0;0.0
ShareX.HelpersLib.KeyboardHook.OnKeyUp(IntPtr);5.0;3.0;1;3.0;2.0;1;1;1.0;0.0
ShareX.HelpersLib.KeyboardHook.GetKeyEventArgs(IntPtr);2.0;1.0;1;2.0;0.0;2;0;1.0;0.0
ShareX.HelpersLib.KeyboardHook.Dispose();1.0;1.0;0;0.0;0.0;1;1;1.0;0.0
ShareX.HelpersLib.CodeMenuEntryActions.CodeMenuEntryActions(String,String);2.0;1.0;2;0.0;0.0;1;1;4.0;0.0
ShareX.HelpersLib.CodeMenuEntryActions.Parse(String,String,String);6.0;3.0;3;4.0;1.0;1;1;2.0;0.0
ShareX.HelpersLib.CodeMenuEntryActions.CodeMenuEntryActions();2.0;1.0;0;0.0;0.0;0;3;1.0;0.0
ShareX.HelpersLib.ClipboardFormat.ClipboardFormat();1.0;1.0;0;0.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.ClipboardFormat.ClipboardFormat(String,String);3.0;1.0;2;0.0;0.0;0;2;1.0;0.0
ShareX.HelpersLib.CodeMenu.Create<TEntry>(TextBox,TEntry[]);1.0;1.0;2;1.0;0.0;6;1;1.0;0.0
ShareX.HelpersLib.CodeMenu.Create<TEntry>(TextBox,TEntry[],CodeMenuItem[]);46.0;20.0;3;13.0;2.0;2;11;1.0;49.0
ShareX.HelpersLib.CodeMenu.Create<TEntry>(TEntry[]);16.0;5.0;1;6.0;2.0;1;7;1.0;0.0
ShareX.HelpersLib.ColorMatrixManager.Apply(ColorMatrix,Image);3.0;1.0;2;3.0;0.0;14;2;3.0;0.0
ShareX.HelpersLib.ColorMatrixManager.Apply(ColorMatrix,Image,Image,Rectangle);7.0;1.0;4;3.0;2.0;2;1;1.0;0.0
ShareX.HelpersLib.ColorMatrixManager.ChangeGamma(Image,Single);9.0;1.0;2;4.0;2.0;1;3;1.0;0.0
ShareX.HelpersLib.ColorMatrixManager.Inverse();1.0;1.0;0;1.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.ColorMatrixManager.Alpha(Single,Single);1.0;1.0;2;1.0;0.0;1;0;2.0;0.0
ShareX.HelpersLib.ColorMatrixManager.Brightness(Single);1.0;1.0;1;1.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.ColorMatrixManager.Contrast(Single);1.0;1.0;1;1.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.ColorMatrixManager.BlackWhite();1.0;1.0;0;1.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.ColorMatrixManager.Polaroid();1.0;1.0;0;1.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.ColorMatrixManager.Grayscale(Single);1.0;1.0;1;1.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.ColorMatrixManager.Sepia(Single);1.0;1.0;1;1.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.ColorMatrixManager.Hue(Single);4.0;1.0;1;4.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.ColorMatrixManager.Saturation(Single);1.0;1.0;1;1.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.ColorMatrixManager.Colorize(Color,Single);5.0;1.0;2;5.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.CMYK.CMYK(Double,Double,Double,Double,Int32);6.0;1.0;5;0.0;0.0;2;5;2.0;0.0
ShareX.HelpersLib.CMYK.CMYK(Int32,Int32,Int32,Int32,Int32);6.0;1.0;5;0.0;0.0;1;5;2.0;26.0
ShareX.HelpersLib.CMYK.CMYK(Color);1.0;1.0;1;0.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.CMYK.ToString();1.0;1.0;0;1.0;0.0;0;5;3.0;0.0
ShareX.HelpersLib.CMYK.ToColor();1.0;1.0;0;1.0;0.0;4;1;1.0;0.0
ShareX.HelpersLib.CMYK.GetHashCode();1.0;1.0;0;1.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.CMYK.Equals(Object);1.0;1.0;1;1.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.ColorEventArgs.ColorEventArgs(MyColor,ColorType);3.0;1.0;2;0.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.ColorEventArgs.ColorEventArgs(MyColor,DrawStyle);3.0;1.0;2;0.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.GradientInfo.GradientInfo();3.0;1.0;0;0.0;0.0;1;2;1.0;78.0
ShareX.HelpersLib.GradientInfo.Draw(Graphics,Rectangle);12.0;6.0;2;4.0;3.0;2;5;2.0;5.0
ShareX.HelpersLib.GradientInfo.ToString();1.0;1.0;0;1.0;0.0;0;0;1.0;1.0
ShareX.HelpersLib.GradientPickerForm.GradientPickerForm(GradientInfo);14.0;2.0;1;3.0;1.0;1;9;3.0;0.0
ShareX.HelpersLib.GradientPickerForm.UpdatePreview();7.0;3.0;0;5.0;3.0;6;2;1.0;0.0
ShareX.HelpersLib.GradientPickerForm.cbGradientType_SelectedIndexChanged(Object,EventArgs);2.0;1.0;2;0.0;0.0;1;3;1.0;0.0
ShareX.HelpersLib.GradientPickerForm.AddGradientStop(GradientStop);6.0;1.0;1;1.0;0.0;2;3;2.0;0.0
ShareX.HelpersLib.GradientPickerForm.btnAdd_Click(Object,EventArgs);6.0;1.0;2;3.0;0.0;1;6;1.0;0.0
ShareX.HelpersLib.GradientPickerForm.btnRemove_Click(Object,EventArgs);6.0;2.0;2;3.0;1.0;1;3;1.0;0.0
ShareX.HelpersLib.GradientPickerForm.cbtnCurrentColor_ColorChanged(Color);7.0;2.0;1;3.0;1.0;1;4;2.0;0.0
ShareX.HelpersLib.GradientPickerForm.nudLocation_ValueChanged(Object,EventArgs);6.0;2.0;2;3.0;1.0;1;3;1.0;0.0
ShareX.HelpersLib.GradientPickerForm.lvGradientPoints_SelectedIndexChanged(Object,EventArgs);5.0;2.0;2;3.0;1.0;1;4;2.0;0.0
ShareX.HelpersLib.GradientPickerForm.lvGradientPoints_MouseDoubleClick(Object,MouseEventArgs);2.0;3.0;2;1.0;1.0;1;1;1.0;0.0
ShareX.HelpersLib.GradientPickerForm.btnOK_Click(Object,EventArgs);2.0;1.0;2;0.0;0.0;1;0;2.0;0.0
ShareX.HelpersLib.GradientPickerForm.btnCancel_Click(Object,EventArgs);2.0;1.0;2;0.0;0.0;1;0;2.0;0.0
ShareX.HelpersLib.GradientPickerForm.Dispose(Boolean);3.0;3.0;1;1.0;1.0;0;0;1.0;0.0
ShareX.HelpersLib.GradientPickerForm.InitializeComponent();91.0;1.0;0;1.0;0.0;1;13;7.0;0.0
ShareX.HelpersLib.GradientStop.GradientStop();2.0;1.0;0;0.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.GradientStop.GradientStop(Color,Single);3.0;1.0;2;0.0;0.0;2;2;3.0;0.0
ShareX.HelpersLib.HSB.HSB(Double,Double,Double,Int32);5.0;1.0;4;0.0;0.0;7;4;2.0;0.0
